data,SO2,NO2,PM10,mmhg,tem,rh,ws
2009-06-01,0.037,0.031,0.098,663.729,21.979,16.458,1.958
2009-06-02,0.034,0.027,0.067,660.125,22.167,18.5,1.479
2009-06-03,0.027,0.025,0.039,668.617,21.319,17.17,1.872
2009-06-04,0.04,0.035,0.067,665.625,20.667,18.708,0.938
2009-06-05,0.035,0.03,0.076,664.146,19.063,40.917,1.188
2009-06-06,0.027,0.021,0.056,669.167,21,41.563,1.354
2009-06-07,0.026,0.023,0.047,672.146,18.479,49.563,1.646
2009-06-08,0.026,0.023,0.061,671.5,19,61.146,1.729
2009-06-09,0.027,0.019,0.051,663.917,21.042,47.104,2
2009-06-10,0.025,0.018,0.038,666.146,16.979,51.813,1.667
2009-06-11,0.036,0.024,0.061,665.3,21,28,2.7
2009-06-12,0.028,0.017,0.055,664.25,21.458,23.375,2.417
2009-06-13,0.032,0.025,0.05,666.821,20.211,33.436,1.205
2009-06-14,0.035,0.019,0.049,669.167,22.063,34.396,1.146
2009-06-15,0.037,0.027,0.074,668.667,21.563,39.563,1.208
2009-06-16,0.044,0.031,0.128,673.521,24.104,46.021,1.333
2009-06-17,0.029,0.029,0.102,671.75,18.854,76.771,1.146
2009-06-18,0.033,0.026,0.085,675.256,24.205,51.667,2.026
2009-06-19,0.031,0.023,0.095,663.891,20.761,69.13,1.644
2009-06-20,0.045,0.023,0.129,662.378,20.289,22.511,1.8
2009-06-21,0.032,0.022,0.105,659.021,24.146,21.104,2.438
2009-06-22,0.033,0.021,0.068,662.813,18.167,28.542,1.521
2009-06-23,0.033,0.024,0.075,661.792,23.208,24.063,1.404
2009-06-24,0.056,0.035,0.1,663.447,24.213,25.277,1.149
2009-06-25,0.059,0.041,0.101,658.958,28.167,15.583,1.646
2009-06-26,0.065,0.049,0.148,666.583,28.625,21.771,1.521
2009-06-27,0.051,0.03,0.068,668.875,24.958,46.167,1.563
2009-06-28,0.044,0.021,0.101,657.646,24.938,17.271,2.375
2009-06-29,0.066,0.024,0.062,654.792,24.083,15.417,1.809
2009-06-30,0.035,0.018,0.053,659.692,22.154,31.282,2.359
2009-07-01,0.052,0.023,0.038,663.708,22.042,33.188,1.766
2009-07-02,0.045,0.025,0.03,664.6,23.467,30,1.733
2009-07-03,0.057,0.034,0.063,664.333,26.063,26.688,1.167
2009-07-04,0.076,0.043,0.093,671.083,28.688,27.396,1.125
2009-07-05,0.073,0.036,0.089,668.917,26.292,41.771,1.813
2009-07-06,0.056,0.028,0.077,667.854,23.104,55.479,1.354
2009-07-07,0.07,0.031,0.051,666.417,25.813,26.167,1.188
2009-07-08,0.049,0.029,0.061,667.625,23.208,57.333,1.25
2009-07-09,0.034,0.026,0.041,665.208,17.75,74.271,1.021
2009-07-10,0.037,0.04,0.096,663.5,25.25,43.021,0.875
2009-07-11,0.026,0.027,0.058,668.063,25.125,46.229,1.458
2009-07-12,0.023,0.029,0.065,671.646,24.208,50.563,1.563
2009-07-13,0.034,0.031,0.079,663.479,26.688,32.708,1.771
2009-07-14,0.022,0.028,0.05,663.021,19.708,74.188,1.021
2009-07-15,0.032,0.043,0.063,665.851,25.085,34.596,1.149
2009-07-16,0.033,0.035,0.078,667.271,24.521,54.146,1.354
2009-07-17,0.024,0.031,0.057,670.333,20.063,88.208,0.729
2009-07-18,0.029,0.03,0.04,667.447,19.255,86.191,1.277
2009-07-19,0.024,0.052,0.109,663.917,25.583,63.458,1.125
2009-07-20,0.022,0.026,0.052,664.396,23.917,64.792,1.021
2009-07-21,0.03,0.043,0.068,666.479,26.25,47.938,0.896
2009-07-22,0.041,0.037,0.075,664.026,28.897,30.718,0.974
2009-07-23,0.068,0.036,0.06,665,24.896,44.521,1.063
2009-07-24,0.024,0.028,0.041,664.271,24.354,44.042,1.646
2009-07-25,0.022,0.025,0.037,670.761,20.63,55.957,2.043
