data,SO2,NO2,PM10,city
2009-06-01,0.03,0.032,0.058,城市B
2009-06-02,0.034,0.032,0.06,城市B
2009-06-03,0.018,0.028,0.052,城市B
2009-06-04,0.039,0.042,0.065,城市B
2009-06-05,0.036,0.041,0.068,城市B
2009-06-06,0.025,0.03,0.041,城市B
2009-06-07,0.023,0.029,0.048,城市B
2009-06-08,0.017,0.028,0.05,城市B
2009-06-09,0.01,0.03,0.034,城市B
2009-06-10,0.009,0.023,0.024,城市B
2009-06-11,0.013,0.028,0.031,城市B
2009-06-12,0.016,0.027,0.034,城市B
2009-06-13,0.023,0.033,0.042,城市B
2009-06-14,0.051,0.04,0.046,城市B
2009-06-15,0.081,0.054,0.052,城市B
2009-06-16,0.1,0.062,0.094,城市B
2009-06-17,0.019,0.041,0.071,城市B
2009-06-18,0.019,0.031,0.059,城市B
2009-06-19,0.009,0.023,0.054,城市B
2009-06-20,0.017,0.029,0.084,城市B
2009-06-21,0.011,0.026,0.066,城市B
2009-06-22,0.02,0.022,0.047,城市B
2009-06-23,0.018,0.029,0.043,城市B
2009-06-24,0.036,0.038,0.048,城市B
2009-06-25,0.045,0.051,0.089,城市B
2009-06-26,0.081,0.052,0.127,城市B
2009-06-27,0.029,0.039,0.052,城市B
2009-06-28,0.01,0.026,0.081,城市B
2009-06-29,0.011,0.032,0.049,城市B
2009-06-30,0.008,0.023,0.049,城市B
2009-07-01,0.046,0.025,0.042,城市B
2009-07-02,0.056,0.028,0.038,城市B
2009-07-03,0.061,0.041,0.05,城市B
2009-07-04,0.094,0.055,0.081,城市B
2009-07-05,0.0,0.067,0.085,城市B
2009-07-06,0.0,0.057,0.073,城市B
2009-07-07,0.035,0.037,0.045,城市B
2009-07-08,0.019,0.028,0.044,城市B
2009-07-09,0.019,0.031,0.041,城市B
2009-07-10,0.038,0.05,0.073,城市B
2009-07-11,0.028,0.03,0.044,城市B
2009-07-12,0.066,0.027,0.05,城市B
2009-07-13,0.091,0.038,0.066,城市B
2009-07-14,0.071,0.033,0.04,城市B
2009-07-15,0.049,0.046,0.056,城市B
2009-07-16,0.011,0.031,0.057,城市B
2009-07-17,0.004,0.032,0.055,城市B
2009-07-18,0.006,0.032,0.04,城市B
2009-07-19,0.01,0.05,0.078,城市B
2009-07-20,0.027,0.028,0.046,城市B
2009-07-21,0.063,0.045,0.069,城市B
2009-07-22,0.039,0.036,0.044,城市B
2009-07-23,0.061,0.031,0.047,城市B
2009-07-24,0.059,0.022,0.033,城市B
2009-07-25,0.057,0.021,0.027,城市B
